year,home_price,income,mortgage,hpi,price_to_income,monthly_payment,payment_to_income_pct,affordability_index,real_price_index
2000,165300,41990,8.05,100.0,3.94,975.0,27.9,25.4,100.0
2001,175200,42228,6.97,107.6,4.15,930.0,26.4,24.1,107.6
2002,188400,42409,6.54,116.5,4.44,957.0,27.1,22.5,116.5
2003,195200,43318,5.83,124.3,4.51,919.0,25.5,22.2,124.3
2004,221000,44389,5.84,139.0,4.98,1042.0,28.2,20.1,139.0
2005,240900,46326,5.87,157.6,5.2,1139.0,29.5,19.2,157.6
2006,246500,48201,6.41,167.2,5.11,1235.0,30.7,19.6,167.2
2007,247900,50233,6.34,163.2,4.94,1233.0,29.5,20.3,163.2
2008,232100,50303,6.03,147.1,4.61,1117.0,26.6,21.7,147.1
2009,216700,49777,5.04,131.4,4.35,935.0,22.5,23.0,131.4
2010,221800,49445,4.69,125.3,4.49,919.0,22.3,22.3,125.3
2011,216700,50054,4.45,118.5,4.33,873.0,20.9,23.1,118.5
2012,240600,51017,3.66,122.0,4.72,882.0,20.7,21.2,122.0
2013,265500,52250,3.98,132.5,5.08,1012.0,23.2,19.7,132.5
2014,286500,53657,4.17,140.8,5.34,1117.0,25.0,18.7,140.8
2015,296400,56516,3.85,149.8,5.24,1112.0,23.6,19.1,149.8
2016,306700,59039,3.65,158.8,5.19,1122.0,22.8,19.2,158.8
2017,319200,61372,3.99,166.4,5.2,1218.0,23.8,19.2,166.4
2018,325900,63179,4.54,173.8,5.16,1327.0,25.2,19.4,173.8
2019,321500,68703,3.94,177.8,4.68,1219.0,21.3,21.4,177.8
2020,336900,67521,3.11,191.8,4.99,1152.0,20.5,20.0,191.8
2021,397000,70784,2.96,226.3,5.61,1332.0,22.6,17.8,226.3
2022,454900,74580,5.34,256.5,6.1,2030.0,32.7,16.4,256.5
2023,431000,77719,6.81,249.5,5.55,2250.0,34.7,18.0,249.5
